time,constant demand,constant production,realistic demand,realistic prod
0.0,0.37123287671232874,0.8675799086757991,0.2849695146092327,0.0
1.0,0.37123287671232874,0.8675799086757991,0.23003563227492277,0.0
2.0,0.37123287671232874,0.8675799086757991,0.20600205875366218,0.0
3.0,0.37123287671232874,0.8675799086757991,0.18883522052419033,0.0
4.0,0.37123287671232874,0.8675799086757991,0.17853511758650722,0.0
5.0,0.37123287671232874,0.8675799086757991,0.17510174994061287,0.0
6.0,0.37123287671232874,0.8675799086757991,0.26093594108797213,0.0654777289566641
7.0,0.37123287671232874,0.8675799086757991,0.41200411750732435,0.1636943223916602
8.0,0.37123287671232874,0.8675799086757991,0.4223042204450075,0.42560523821831653
9.0,0.37123287671232874,0.8675799086757991,0.39483727927785256,0.9821659343499614
10.0,0.37123287671232874,0.8675799086757991,0.39483727927785256,1.6369432239166022
11.0,0.37123287671232874,0.8675799086757991,0.39483727927785256,2.1280261910915828
12.0,0.37123287671232874,0.8675799086757991,0.4223042204450075,2.4554148358749033
13.0,0.37123287671232874,0.8675799086757991,0.44633779396626805,2.5536314293098994
14.0,0.37123287671232874,0.8675799086757991,0.42917095573679626,2.5536314293098994
15.0,0.37123287671232874,0.8675799086757991,0.3879705439860638,2.4554148358749033
16.0,0.37123287671232874,0.8675799086757991,0.35020349988122573,2.1280261910915828
17.0,0.37123287671232874,0.8675799086757991,0.35020349988122573,1.6369432239166022
18.0,0.37123287671232874,0.8675799086757991,0.41200411750732435,0.9821659343499614
19.0,0.37123287671232874,0.8675799086757991,0.5150051468841554,0.42560523821831653
20.0,0.37123287671232874,0.8675799086757991,0.5768057645102541,0.1636943223916602
21.0,0.37123287671232874,0.8675799086757991,0.5836724998020428,0.0654777289566641
22.0,0.37123287671232874,0.8675799086757991,0.5150051468841554,0.0
23.0,0.37123287671232874,0.8675799086757991,0.37767044104838066,0.0
